iter	Passed	Remaining
631	1448	843
632	1450	841
633	1452	838
634	1454	835
635	1455	833
636	1457	830
637	1459	827
638	1460	825
639	1462	822
640	1464	820
641	1466	817
642	1467	814
643	1469	812
644	1471	810
645	1473	807
646	1475	804
647	1477	802
648	1478	799
649	1480	797
650	1482	794
651	1484	792
652	1485	789
653	1488	787
654	1490	785
655	1492	782
656	1494	780
657	1496	777
658	1498	775
659	1500	772
660	1501	770
661	1503	767
662	1505	765
663	1506	762
664	1508	760
665	1510	757
666	1512	755
667	1514	752
668	1515	749
669	1517	747
670	1519	744
671	1521	742
672	1522	739
673	1524	737
674	1526	734
675	1528	732
676	1529	729
677	1531	727
678	1533	724
679	1534	722
680	1536	719
681	1538	717
682	1540	714
683	1541	712
684	1543	709
685	1545	707
686	1546	704
687	1548	702
688	1550	699
689	1552	697
690	1553	694
691	1555	692
692	1557	689
693	1559	687
694	1560	684
695	1562	682
696	1564	680
697	1566	677
698	1568	675
699	1569	672
700	1571	670
701	1573	667
702	1575	665
703	1576	663
704	1578	660
705	1580	658
706	1582	655
707	1583	653
708	1585	650
709	1587	648
710	1589	646
711	1591	643
712	1593	641
713	1594	638
714	1596	636
715	1598	634
716	1600	631
717	1601	629
718	1603	626
719	1605	624
720	1607	621
721	1609	619
722	1610	617
723	1612	614
724	1614	612
725	1616	609
726	1617	607
727	1619	605
728	1621	602
729	1622	600
730	1625	597
731	1626	595
732	1628	593
733	1630	590
734	1632	588
735	1633	586
736	1635	583
737	1637	581
738	1639	579
739	1641	576
740	1643	574
741	1644	571
742	1646	569
743	1648	567
744	1650	564
745	1651	562
746	1653	560
747	1655	557
748	1657	555
749	1658	552
750	1660	550
751	1662	548
752	1663	545
753	1665	543
754	1667	541
755	1669	538
756	1671	536
757	1673	534
758	1675	531
759	1676	529
760	1678	527
761	1680	524
762	1682	522
763	1684	520
764	1685	517
765	1687	515
766	1689	513
767	1691	510
768	1692	508
769	1694	506
770	1696	503
771	1698	501
772	1699	499
773	1703	497
774	1704	494
775	1706	492
776	1708	490
777	1709	487
778	1711	485
779	1713	483
780	1715	481
781	1717	478
782	1718	476
783	1720	474
784	1722	471
785	1723	469
786	1725	467
787	1727	464
788	1729	462
789	1730	460
790	1732	457
791	1734	455
792	1736	453
793	1737	450
794	1739	448
795	1741	446
796	1743	443
797	1744	441
798	1746	439
799	1748	437
800	1750	434
801	1752	432
802	1753	430
803	1755	427
804	1757	425
